original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","ov3rly stylized with lots o f flash black-&-whtie immobilise frames reminiscent of a pseuo - hip luxury car commercial, ( it 's ) at its wort when it 's actually inside the ring.",negative,80,11,True,2025-08-07T10:44:39.975490
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies betwixt a sweet sile and an raging bark , while said attempts to wear down possible pupils through repetiiton . it has no affect on the kurds , but it wore me down .",negative,124,22,False,2025-08-07T10:44:39.975555
a sometimes tedious film .,a sometimes tedius fil m .,negative,25,5,False,2025-08-07T10:44:39.975563
i admired this work a lot .,i adnired this wok a 1ot .,positive,33,7,False,2025-08-07T10:44:39.975570
staggeringly dreadful romance .,staggeirngly dreadfl romance .,negative,23,4,False,2025-08-07T10:44:39.975573
a flawed but engrossing thriller .,a blemish but engrossing thriller .,positive,31,6,False,2025-08-07T10:44:39.975576
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades give$ the neighbrhood - - senery , vib e and all -- the cinemaitc equialent of a big , tedner squeeze .",positive,113,21,False,2025-08-07T10:44:39.975579
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . there 's enough aplomb fun hither to warmly the bosom of aniamtion enthsuiasts of entirely ages .,positive,103,17,False,2025-08-07T10:44:39.975591
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . @s for baby , t hey wo n't enjyo the moie a t wholly .",negative,74,13,False,2025-08-07T10:44:39.975600
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the far-out drmaa tuches the heat and t he funnybone thanks to the energetic and constantly surprising execution past rachle griffiths .,positive,125,21,False,2025-08-07T10:44:39.975608
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,dierctor jay russell weighs dow n his capricious fairy - tale with heavy sentiment and lightweight meaning.,negative,26,2,True,2025-08-07T10:44:39.975613
the kind of primal storytelling that george lucas can only dream of .,the kid of prmal storytelling tht George IV luc as can alone drea m o f .,positive,77,13,False,2025-08-07T10:44:39.975618
