original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"there ought to be a directing license , so that ed burns can have his revoked .","there ouht to be a directing liense , so that ed burns tin have his revoked .",negative,93,17,False,2025-08-07T10:21:59.052358
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most films these days are about nohing, thi s film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",negative,47,4,True,2025-08-07T10:21:59.052383
i'm going to give it a marginal thumbs up . i liked it just enough .,i 'm going to give it a marginal thumbs up. i lked i t jus t enouhg .,positive,45,7,True,2025-08-07T10:21:59.052429
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood 's blood work is a lot like a well - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite ta sty and inviting all the same.",positive,42,1,True,2025-08-07T10:21:59.052440
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its stoyr about a young chinese woman, ah na, who has come to freshly york ci ty to relace past tragedy with the american dream is on3 tht any art - house moviegoer is likely to find compelling.",positive,75,7,True,2025-08-07T10:21:59.052467
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plain, uniaginative romantic comedies i 've ever seen.",negative,19,1,True,2025-08-07T10:21:59.052486
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillip noye and all of his actors -- as wel as his cinematograher, christopher doyle - - understand the ticklish forcefulness of greene 's prose, @nd it 's there on the screen in tehir vesion of the qiet americn.",positive,107,14,True,2025-08-07T10:21:59.052502
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly d ull.,negative,25,1,True,2025-08-07T10:21:59.052542
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's slothful for a movie to av oid solving one problem by trying to distract us with the solution to another.,negative,31,2,True,2025-08-07T10:21:59.052558
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no li ka district attorney accents so god, merely i thoroghly enjyed th e l ove stoyr. scott baio is turning in some delightful work on indie projects .",positive,78,14,True,2025-08-07T10:21:59.052574
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet, but alo more than anything else slight tadpole pulls back from the consequences of its own actions and revelations.",positive,29,1,True,2025-08-07T10:21:59.052596
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms for duvall 's pulsate sincerity and his elderly proclivity for patting people whil3 he taks .,negative,101,17,False,2025-08-07T10:21:59.052614
martyr gets royally screwed and comes back for more .,mrtyr gets royally screed and comes back for more.,negative,20,2,True,2025-08-07T10:21:59.052629
i didn't laugh . i didn't smile . i survived .,error,error,0,0,False,2025-08-07T10:21:59.052638
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo - hip luxury car commercial, ( it 's ) at it s wort when it 's actually inside the ring.",negative,53,4,True,2025-08-07T10:21:59.052649
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has n o affect on the kurds, but it wore m3 down.",negative,24,2,True,2025-08-07T10:21:59.052831
a sometimes tedious film .,error,error,0,0,False,2025-08-07T10:21:59.052853
i admired this work a lot .,i admired ths wrk a lo t .,positive,33,7,False,2025-08-07T10:21:59.052860
staggeringly dreadful romance .,staggerngly dreadfl romance.,negative,14,2,True,2025-08-07T10:21:59.052869
a flawed but engrossing thriller .,a flawed but enrossing thriller.,positive,11,1,True,2025-08-07T10:21:59.052879
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the neighborhood -- scenery, vibe and all -- the cinematic equivalent of a big, tendr hug.",positive,26,1,True,2025-08-07T10:21:59.052888
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,error,error,0,0,False,2025-08-07T10:21:59.052900
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . a s for ch1ldren, tey wo n' t enjoy the moive astatine altogether.",negative,49,8,True,2025-08-07T10:21:59.052910
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the far-out dra ma touches the heart an d the funnybone thnaks to the industrious @nd always storm performane by rachel griffiths.,positive,61,9,True,2025-08-07T10:21:59.052932
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,director j ay russell weighs do wn his capricios fa iry - tale wth heavy opinion and lightweight meaning.,negative,66,10,True,2025-08-07T10:21:59.052948
the kind of primal storytelling that george lucas can only dream of .,the kind of prmal storytelling that george lucas can only dream of.,positive,18,1,True,2025-08-07T10:21:59.052961
