original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
i didn't laugh . i didn't smile . i survived .,i didn't laugh . i didn't smile . i survived .,mixed,4,0,False,2025-08-07T10:26:49.160935
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","ovelry stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo - hip luxury car commercial, ( it 's ) at its worts when it 's actually inside the ring.",negative,45,2,True,2025-08-07T10:26:49.160943
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir vraies between a sweet smile and an amgry bark, while said attmepts to wear down possible pupils through repetition. it has no affect on the kurds , but it wore me down .",negative,39,3,True,2025-08-07T10:26:49.161085
a sometimes tedious film .,a sometimes tedous film.,negative,10,1,True,2025-08-07T10:26:49.161102
i admired this work a lot .,i adired this work a lot.,positive,12,1,True,2025-08-07T10:26:49.161108
staggeringly dreadful romance .,stageringly dreafdul romance.,negative,15,3,True,2025-08-07T10:26:49.161114
a flawed but engrossing thriller .,a flawed but engrossing thrller.,positive,11,1,True,2025-08-07T10:26:49.161120
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the neighborhood -- sc3nery, vibe and all -- the cinematic equivalent of a bi g, tender hug.",positive,57,9,True,2025-08-07T10:26:49.161127
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . th ere 's enough nerveless f un here to warm the hearts of animation enthusiasts of all ages.,positive,33,3,True,2025-08-07T10:26:49.161146
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spe nd their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio. @s for chilrden , they wo n't e njoy the mvie at all .",negative,104,14,True,2025-08-07T10:26:49.161156
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the quirky drma touches the hear t and the funnybone thnaks to the energetic and always surpri$ing perfomrance by rachel griffiths.,positive,50,6,True,2025-08-07T10:26:49.161172
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,drector jay russell weighs down his capricious fairy - tale with hea vy sentiment and lightweight meaning.,negative,28,3,True,2025-08-07T10:26:49.161184
the kind of primal storytelling that george lucas can only dream of .,the k1nd of primal storytelling that george lucas can only dream of.,positive,20,1,True,2025-08-07T10:26:49.161194
