original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy - tale formula, serves as a paper skeleton for some ve ry god acting, dialogue, comedy, direction and especially charm.",positive,7,741,5,True,2025-08-11T21:57:06.616182
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its mos t immediate and mos t obviuos pleasure, but it would count for very piddling if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",mixed,20,741,17,False,2025-08-11T21:57:06.616204
the most surprising thing about this film is that they are actually releasing it into theaters .,the mo$t surprising thing about this film is that they are atually releasing it into theaters.,positive,7,741,5,True,2025-08-11T21:57:06.616257
a fan film that for the uninitiated plays better on video with the sound turned down .,a fan film that for the uniniti@ted plays bett3r on video with the sound turned dow n.,negative,11,741,9,True,2025-08-11T21:57:06.616276
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","srong filmmaking requires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up short.",mixed,3,741,1,True,2025-08-11T21:57:06.616294
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwies intenes, twist - and - turn thriller that c3rtainly should n' t hurt talented y0ung gaghan 's resume.",positive,22,741,17,False,2025-08-11T21:57:06.616316
cho's timing is priceless .,cho 's timing is priceess.,positive,8,741,6,True,2025-08-11T21:57:06.616336
. . . a lesson in prehistoric hilarity .,. . . a lesson i n prehi$toric hialrity.,neutral,12,741,9,True,2025-08-11T21:57:06.616349
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .",positive,55,741,50,False,2025-08-11T21:57:06.616363
an almost unbearably morbid love story .,an almots unbeaarbly morbid love story.,negative,7,741,5,True,2025-08-11T21:57:06.616392
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you 'll make out this movi e. matthew lillard is born to play shaggy !,positive,12,741,9,True,2025-08-11T21:57:06.616407
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer, christopher and grace are litle more than collections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell.",negative,3,741,1,True,2025-08-11T21:57:06.616422
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do mot, under any circumstances, consider taking a chi ld younger than midlde schol age to this wallow in crude humor.",negative,21,741,18,False,2025-08-11T21:57:06.616523
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the meritless and m0st sordid of human behavior on the screen, then laughs at how clever it 's being.",positive,14,741,12,True,2025-08-11T21:57:06.616542
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","a lex nohe 's documentary plays like a travelogue for what msotly resembles a genuine - life, big - budget nc-7 version of tank girl.",neutral,20,741,17,False,2025-08-11T21:57:06.616560
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beatiful, time1ess and world-wide t ale of heated passions -- jealousy, betrayal, forgiveness and murder.",positive,12,741,10,True,2025-08-11T21:57:06.616579
ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forgie the flaws and love the film.,positive,3,741,1,True,2025-08-11T21:57:06.616596
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls moving-picture show, my judgment sustain returning to one anecdote for comparison : the cartoon in japan that gave people seizures.",neutral,15,741,13,True,2025-08-11T21:57:06.616610
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin powers in goldmember is a cineatic car wreck, a catstrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride.",negative,6,741,4,True,2025-08-11T21:57:06.616630
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ g@i ] comes closer to any actress i can remember to personifying independence in its purest and, yes, most intimidating form.",positive,8,741,6,True,2025-08-11T21:57:06.616651
the pool drowned me in boredom .,t he pol drowend me in bor3dom.,negative,12,741,10,True,2025-08-11T21:57:06.616671
"the tone is balanced , reflective and reasonable .","th3 step is balaced, reflectiv3 and reason@ble.",positive,16,741,14,True,2025-08-11T21:57:06.616682
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistible blend of wamrth and bodily fluid and a consisent embracing humanity in the face of life 's harshness.,positive,22,741,19,False,2025-08-11T21:57:06.616696
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragabg of promising ideas and failed story, of well acting and plain o ld b ad filmmaking.",negative,17,741,14,False,2025-08-11T21:57:06.616713
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writer / director alexander payne ( election ) and his co - writer jim taylor brlliantly employ their quirky and fearless ability to look aemrican angst in the eye and end up laughing.,positive,6,741,4,True,2025-08-11T21:57:06.616729
"a well-done film of a self-reflexive , philosophical nature .","a w ell - done film of a self - reflexive, philosoph1cal nature.",positive,7,741,5,True,2025-08-11T21:57:06.616752
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains non s o much because of its music or comedian antics, but through the perverse pleasure of watching disney scrape the bottom of its o wn cracker barrel.",mixed,18,741,15,False,2025-08-11T21:57:06.616766
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an amusing and unexpectedly inisghtful scrutiny of sexual jea1ousy, resentment and the fine line between passion and pretence.",positive,19,741,16,False,2025-08-11T21:57:06.616786
"there ought to be a directing license , so that ed burns can have his revoked .","thither ought to be a directing license, so that ed burns can have his revoked.",neutral,6,741,4,True,2025-08-11T21:57:06.616805
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while virtually films these days are about aught, this film seems to be about everything that 's plaguing the human spirit in a unrelentingly globalizing world.",negative,13,741,11,True,2025-08-11T21:57:06.616820
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a marginal thumbs up . i liked it hardly enough.,positive,6,741,3,True,2025-08-11T21:57:06.616840
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood 's blood work is a lot like a wll - made pb & j sandwich : fmailiar, fairly unveentful and boasting no rea1 surprises  but still quite tasty and inviting all the sme.",positive,19,741,17,True,2025-08-11T21:57:06.616854
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its story about a yonug chinese woman, ah na, who has come to new york city to replace past tragedy with the american dream is one that any art - house moviegoer is likely to find compelling.",positive,5,741,3,True,2025-08-11T21:57:06.616879
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the nigh plain, unimaginative romantic comedies i 've ever seen.",positive,6,741,4,True,2025-08-11T21:57:06.616903
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","philip noyce and all of his actors -- as well as his cinematographer, christopher doyle -- understand the delicate forcefulness of greene 's prose, and it 's tehre on the screen in their version of the quiet american.",neutral,21,741,18,False,2025-08-11T21:57:06.616917
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the tarnsporter bombards the viewer with s o ma ny explosions and side snap kicks that it ends u p being astonishingly dull.,negative,17,741,14,False,2025-08-11T21:57:06.616942
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's lay for a movi e to avid solving one problem by trying to distract us with the solution to another.,negative,13,741,11,True,2025-08-11T21:57:06.616960
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delghtful work on indie projects.",positive,10,741,7,True,2025-08-11T21:57:06.616977
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet, but als o to a greater extent than anything els e slight tadpole pulls back from the consequences of its own actions and revelations.",mixed,22,741,19,False,2025-08-11T21:57:06.617025
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms for duvall 's throb serious-mindedness and his eldelry propesnity for patting people while he talks.,negative,18,741,16,True,2025-08-11T21:57:06.617046
martyr gets royally screwed and comes back for more .,maryr gets like royalty screwed and comes bck for Thomas More.,negative,13,741,11,True,2025-08-11T21:57:06.617063
i didn't laugh . i didn't smile . i survived .,i did n' t laugh. i did n' t grin. i survived .,negative,11,741,7,True,2025-08-11T21:57:06.617077
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo - hip luxury car commercial, ( it 's ) at its wor st when it 's actually inside the ring.",negative,6,741,4,True,2025-08-11T21:57:06.617090
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has atomic number 102 @ffect on the kurds, but it w ore me dow n.",mixed,15,741,12,True,2025-08-11T21:57:06.617112
a sometimes tedious film .,a sometimse ted1ous fil m.,negative,8,741,6,True,2025-08-11T21:57:06.617135
i admired this work a lot .,i admried th is work a lot.,positive,15,741,12,False,2025-08-11T21:57:06.617146
staggeringly dreadful romance .,staggeringly dradful romance.,negative,5,741,3,True,2025-08-11T21:57:06.617157
a flawed but engrossing thriller .,a flaed bu t enrgossing triller.,mixed,10,741,8,True,2025-08-11T21:57:06.617169
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the neighborhood -- sceery, vie and all -- the cinematic equivalent of a big, tender hug.",positive,16,741,14,True,2025-08-11T21:57:06.617180
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . there 's enough col fum here to warm the hearts of animation enthusiasts of all ages.,positive,23,741,18,False,2025-08-11T21:57:06.617197
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children, they wo n 't en joy the movie at all.",negative,5,741,2,True,2025-08-11T21:57:06.617211
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the quirky dama touches the middle and the funnybone thanks to the energetic and always surprising performance by rachel griffiths.,positive,22,741,19,False,2025-08-11T21:57:06.617241
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,director jay russell weighs down his capicious fairy - tale with heavy sentiment and lightweight meaning.,neutral,3,741,1,True,2025-08-11T21:57:06.617257
the kind of primal storytelling that george lucas can only dream of .,the kind of primal storytelling that george lucas can oly dream of.,neutral,4,741,2,True,2025-08-11T21:57:06.617272
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerfl, inflammatory film about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution.",positive,3,741,1,True,2025-08-11T21:57:06.617285
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it 's so g ood that you can practically see the hollywood ' suits ' trying to put together the cast and filmmaking team for the all - too -1nevitable american remake.,positive,8,741,6,True,2025-08-11T21:57:06.617302
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is $o co0l that it chills the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductiely stylish game.",positive,19,741,17,True,2025-08-11T21:57:06.617320
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuses to let slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the g ross - out comedy.",negative,3,741,1,True,2025-08-11T21:57:06.617339
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her fim is relentlessly claustrophobic and umpleasant.",negative,11,741,8,True,2025-08-11T21:57:06.617358
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a meretricious, u gly, irritating novie without any of its satiriacl salvos hitting a discermible target.",negative,22,741,19,False,2025-08-11T21:57:06.617378
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take cre is niceyl performed by a quintet of actresses, but monetheless it drags during its 112 - minute length.",mixed,10,741,8,True,2025-08-11T21:57:06.617393
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a grad hitch through 300 hundred years of rusian cultrual identity and a stunning tehcnical achievement.,positive,17,741,14,False,2025-08-11T21:57:06.617408
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessend3n 's narrtaive is ju st as nuch about the ownership and redefinition of myth as it is about a dometic unit finding their way to joy.,positive,19,741,16,False,2025-08-11T21:57:06.617423
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this is the kind of movie where people who have never picked a lock do so easy after a few tries and become expert fighters after a few weeks.,neutral,18,741,16,True,2025-08-11T21:57:06.617440
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,it 's the unsettling images of a state of war - ravaged terra firma that proev Thomas More potent and riveting than the unlikeyl story of sarah and harrison.,positive,20,741,17,False,2025-08-11T21:57:06.617456
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","b est of all is garcia, who perfectly portrays the desperation of a very insecure man.",positive,3,741,1,True,2025-08-11T21:57:06.617473
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,weiss and speck n ever make a convincing case for the relevance of these two 20h - century footnotes.,negative,6,741,4,True,2025-08-11T21:57:06.617511
everyone's to blame here .,evryone 's to blmae her e.,negative,11,741,9,True,2025-08-11T21:57:06.617526
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,changing lanes is an anomaly for a hollywood movie ; it 's a well - written and occasionally challenging societal drama that actually has something interesting to say.,mixed,6,741,4,True,2025-08-11T21:57:06.617536
just not campy enough,upright mot campy enough,negative,7,741,5,True,2025-08-11T21:57:06.617555
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called bet spoilt film you thought was going to be relly awful but was n 't, guys would probably be duking it out with the queen of the damned for the honor.",negative,16,741,13,False,2025-08-11T21:57:06.617565
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .",mixed,18,741,15,False,2025-08-11T21:57:06.617584
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engrossing, ch@racteristically complex t om clancy thriller is shifty in the manner in which it addresses currnt terrorism anxieties and sidesteps them at the Saami time.",positive,18,741,15,False,2025-08-11T21:57:06.617601
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i hope the movie is widly seen and debated with appropriate ferocity and thoughtfulness.,positive,3,741,1,True,2025-08-11T21:57:06.617621
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","based on dav e baryr 's democratic book of the same name, the movie benefits from having a ral writer plot out all of the characters ' moves and overlapping story.",positive,19,741,16,False,2025-08-11T21:57:06.617635
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . no w it 's ju$t tired.",negative,9,741,6,True,2025-08-11T21:57:06.617653
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the enceinte finih is a bit like getting all excited about a chocolate eclair and so biting into it and finding the filling missing.,negative,9,741,7,True,2025-08-11T21:57:06.617666
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a movie jut fo r Fri fans, critics be damned. if you already like this sort of thing , this is that sort of thing all over again .",negative,17,741,13,False,2025-08-11T21:57:06.617682
[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,mixed,17,741,14,False,2025-08-11T21:57:06.617699
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it may non be a huge c ut of above the rest, but i enjoyed barbershop. it's a funny little movie with clever dialogue and likeable characters .",mixed,9,741,6,True,2025-08-11T21:57:06.617713
"it's predictable , but it jumps through the expected hoops with style and even some depth .","it 's preditable, but it jumps through the expected hoops with style and even some depth.",mixed,3,741,1,True,2025-08-11T21:57:06.617726
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptonally dreary and overrwought seize with teeth of work, every bit as imperious as katzenberg 's the prince of egypt from 1998.",negative,17,741,15,True,2025-08-11T21:57:06.617729
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretarial assistant manages a nea t trick, bundling the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie.",positive,11,741,9,True,2025-08-11T21:57:06.617732
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorus trim, secretary is a genial romance that maintains a surprisingly buoyant tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",mixed,3,741,1,True,2025-08-11T21:57:06.617736
