original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beautiful, dateless and cosmopolitan tle of heated cacoethes -- jealousy, betrayal, forgiveness and murder.",positive,20,741,17,False,2025-08-11T22:15:38.948919
ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forgive the flaws and have it off the film.,positive,13,741,11,True,2025-08-11T22:15:38.948937
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the pwerpuff gi rls move, my mi nd kpt returning to one anecdote for comparison : the cartoon in japan that gave people seizures.",negative,21,741,18,False,2025-08-11T22:15:38.948951
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","autin power in gldmember is a cinematic railcar w reck, a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride.",negative,16,741,14,True,2025-08-11T22:15:38.948970
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ g@i ] comes airless to any actrses i can remember to personifying independence in its purest and, yes, most intimidating form.",positive,12,741,9,True,2025-08-11T22:15:38.948992
the pool drowned me in boredom .,th3 p ool dorwned me in bordom.,negative,14,741,12,True,2025-08-11T22:15:38.949011
"the tone is balanced , reflective and reasonable .","the tone is balanced, contemplative a nd reasonbale.",positive,14,741,11,False,2025-08-11T22:15:38.949022
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistible portmanteau word of wartmh and hum or and a logical embracing humanity in the face of life 's harshness.,positive,24,741,21,False,2025-08-11T22:15:38.949036
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a rgabag of prmoising ieas and failed narrative, of good acting and pla in old bad filmmaking.",negative,15,741,13,True,2025-08-11T22:15:38.949054
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,positive,16,741,13,False,2025-08-11T22:15:38.949070
"a well-done film of a self-reflexive , philosophical nature .","a well - done flick of a ego - relexive, phiosophical nautre.",positive,18,741,15,False,2025-08-11T22:15:38.949092
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","etertains not so much because of its msuic or comic antcis, but through the pevrerse pleasance of watching disney scrape the bottom of its own cracker barrel.",negative,22,741,19,False,2025-08-11T22:15:38.949105
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an amusing and unexpectedly isnightful interrogatory of sexual green-eyed monster, bitterness and the f ine line between passion and pretence.",positive,18,741,15,False,2025-08-11T22:15:38.949126
"there ought to be a directing license , so that ed burns can have his revoked .","theer ought to be a directing permission, s0 that 3d cauterize can have his revoked.",negative,18,741,15,False,2025-08-11T22:15:38.949145
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most fi lms these d@ys are about nothing, this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",positive,10,741,8,True,2025-08-11T22:15:38.949160
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a marginal thumbs up . i li ked it jst en0ugh.,positive,11,741,8,True,2025-08-11T22:15:38.949182
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood 's bood w0rk is a hatful like a well - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same.",positive,20,741,17,False,2025-08-11T22:15:38.949194
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its sory about a young chinese wo man, a h sodium, who has come to new House of York city to replace past tragedy with the american dream is one that any art - house moviegoer is likely to find compelling.",positive,19,741,16,False,2025-08-11T22:15:38.949227
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plai n, unimagintive romantic cmedies i 've ever seen.",negative,11,741,9,True,2025-08-11T22:15:38.949252
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillpi noy ce and all of his ators -- as well as his cinematograpehr, St. Christopher doyle -- understand the delicate forcefulness of greene 's prose, and it 's there on the screen in their version of the quiet american.",positive,19,741,16,False,2025-08-11T22:15:38.949266
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the transporer bombars the viewr with so many expolsions and sde snap kicks that it ends up being surprisingly dull.,negative,20,741,17,False,2025-08-11T22:15:38.949288
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's l azy for a moie to avid solving one trouble by trying to ditsract us with the solution to another.,negative,22,741,19,False,2025-08-11T22:15:38.949304
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no lika da accents so good, but i thoroughly enjoyed the have it away story. scott baio is turning in some delightful work on indie projects .",positive,34,741,30,False,2025-08-11T22:15:38.949318
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and seet, but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations.",neutral,4,741,2,True,2025-08-11T22:15:38.949359
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alars for duvall 's throbbing sincerity and his elderly propensity for patting people while he talks.,negative,3,741,1,True,2025-08-11T22:15:38.949376
martyr gets royally screwed and comes back for more .,martyr gets like kings screwed and comes back for more.,negative,9,741,7,True,2025-08-11T22:15:38.949392
i didn't laugh . i didn't smile . i survived .,i did n't lau gh. i didn't smile . i survived .,negative,5,741,1,True,2025-08-11T22:15:38.949403
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .",negative,21,741,18,False,2025-08-11T22:15:38.949414
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reebo1r varies between a sweet smile and an angry bark, while said attempts to wear down possible pupils through repetition. it has no affect on the kurds , but it wore me down .",negative,6,741,3,True,2025-08-11T22:15:38.949434
a sometimes tedious film .,a sometimes tdious fil m.,negative,7,741,5,True,2025-08-11T22:15:38.949453
i admired this work a lot .,i admred this w ork a dole out.,positive,9,741,7,True,2025-08-11T22:15:38.949463
staggeringly dreadful romance .,staggeringly dredful romance.,negative,3,741,1,True,2025-08-11T22:15:38.949473
a flawed but engrossing thriller .,a flawed bu t engrossing thriller.,positive,5,741,3,True,2025-08-11T22:15:38.949483
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the vicinity -- scene, v ibe and all -- the cinematic equiavlent of a big, tender hug.",positive,19,741,16,False,2025-08-11T22:15:38.949493
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,positive,22,741,17,False,2025-08-11T22:15:38.949508
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for cihldren, they wo n' t revel the moie at all.",negative,20,741,16,False,2025-08-11T22:15:38.949521
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the far-out drama tuches the nerve and the funnyboen thanks to the energetic and always surprising performance by rachel griffiths.,positive,22,741,19,False,2025-08-11T22:15:38.949542
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,direct0r jay russell weighs down his capricious fairy - tale with heavy sentiment and lightweight meaning.,negative,5,741,3,True,2025-08-11T22:15:38.949558
the kind of primal storytelling that george lucas can only dream of .,the kind of cardinal storytelling that gorge George Lucas can only pipe dream of.,positive,23,741,20,False,2025-08-11T22:15:38.949572
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful, inflammatory take about religion that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution.",positive,8,741,6,True,2025-08-11T22:15:38.949585
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,positive,19,741,16,False,2025-08-11T22:15:38.949603
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so col that it chils the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductively stylish game.",positive,7,741,5,True,2025-08-11T22:15:38.949621
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nic ks refuses to let slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the gross - out comedy.",neutral,3,741,1,True,2025-08-11T22:15:38.949639
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her fim is unrelnetingly claustrophobic a nd unpleasatn.",negative,18,741,14,False,2025-08-11T22:15:38.949657
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud, ugly, irritating movie without any of its sat1rical salvos hitting a discernible butt.",negative,21,741,18,False,2025-08-11T22:15:38.949677
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care is nicely performed by a quintet of actresses, but nonetheless it hale during its 112 - minute length.",neutral,17,741,15,True,2025-08-11T22:15:38.949692
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a garnd term of enlistment through 300 hundred yr of russian cultural identity element and a stunning technical achiev3ment.,positive,23,741,20,False,2025-08-11T22:15:38.949708
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessenden 's narrative is just as much about the ownership and redefiniiton of myth as it is about a domestic u nit finding their way to joy.,positive,17,741,14,False,2025-08-11T22:15:38.949723
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this is the kid of mov ie where the great unwashed who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks.,positive,15,741,13,True,2025-08-11T22:15:38.949740
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,it 's the unsettling images of a state of war - ravaged lan d that bear witness more stiff and riveting than the unlikely story of sarah and harrison.,positive,20,741,18,True,2025-08-11T22:15:38.949757
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","best of all is garcai, who perfectly portray the despair of a very unsafe mankind.",positive,17,741,14,False,2025-08-11T22:15:38.949773
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,we iss and spekc never make a convimcing cas3 for the relevnce of these two 20th - century footnotes.,negative,18,741,16,True,2025-08-11T22:15:38.949805
everyone's to blame here .,everone 's to balme here.,negative,8,741,6,True,2025-08-11T22:15:38.949820
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,changing lanes is an anomly for a hollywodo pic ; it 's a well - written and occasionally challenging social darma that actually has something interesting to say.,positive,24,741,21,False,2025-08-11T22:15:38.949830
just not campy enough,j ust mot camp enouh,negative,13,741,11,True,2025-08-11T22:15:38.949849
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if Academy Award had a family called best bad moving picture you suppose was going to be really awful but was n't, guys would probably be duking it out with the queen of the damned for the honor.",positive,17,741,15,True,2025-08-11T22:15:38.949858
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","@ccuracy and realism are terrific, but if your film becomes boring, and your dialogue is n't smart, then you need to use more poetic license.",negative,4,741,2,True,2025-08-11T22:15:38.949878
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engrossing, characteristically complex ton clacy thirller is shitfy in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time.",positive,11,741,9,True,2025-08-11T22:15:38.949895
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i hoe the mvoie is widely seen and debated with appropirate fury and thoughtfulness.,positive,18,741,15,False,2025-08-11T22:15:38.949914
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","based on da ve bary 's popular Word of God of the same call, the mvoie benefits from having a real writer plot out all of the characters ' moves and overlapping story.",positive,21,741,18,False,2025-08-11T22:15:38.949928
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . at present it 's just tired.",negative,5,741,2,True,2025-08-11T22:15:38.949946
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big finsh is a b it like getting all excited about a chocoate ecl@ir and then b1ting into it and finding the filling missing.,negative,20,741,17,False,2025-08-11T22:15:38.949959
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a picture just for friady fas, crtics be damned. if you already like this sort of thing , this is that sort of thing all over again .",positive,17,741,14,True,2025-08-11T22:15:38.949975
[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ cyrstal and First State nro ] manage to squeeze out some good laughs but not enough to make this silly con job sing.,negative,11,741,8,False,2025-08-11T22:15:38.949992
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it may not be a hue cut back of above the perch, but i enjoyed barbeshop. it's a funny little movie with clever dialogue and likeable characters .",positive,32,741,28,False,2025-08-11T22:15:38.950007
"it's predictable , but it jumps through the expected hoops with style and even some depth .","it 's prdeictable, but it jump s through the expected ho ops with stlye and even some deth.",positive,23,741,21,True,2025-08-11T22:15:38.950024
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally dreary and overwroght b it of lick, every b it as imperious as kateznberg 's the prince of egypt from 1998.",negative,16,741,13,False,2025-08-11T22:15:38.950037
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretarial assistant deal a ne at legerdemain, wad the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie.",positive,21,741,18,False,2025-08-11T22:15:38.950053
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorous t rim, secretayr is a gemial romnce that mantains a surprisingly buoyant tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",positive,21,741,18,False,2025-08-11T22:15:38.950070
