original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,it 's the unsettling images of a state of war - ravaged land that prove more potnet and riveting than the unconvincing story of sarah and Benjamin Harrison.,positive,61,8,True,2025-08-07T11:39:30.452617
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","bet of all equal gacria, who perfectly portrays the desperation of a very insecure man.",positive,33,3,True,2025-08-07T11:39:30.452627
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,weiss and molecule nveer mae a conivncing case fo r the relevance of these two 20th - century footnotes.,negative,50,7,True,2025-08-07T11:39:30.452637
everyone's to blame here .,everyone 's t0 blaem her e.,negative,26,5,True,2025-08-07T11:39:30.452646
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,chamging 1anes is an anomaly for a hollyood movie ; it ' s a well - drop a line and occasionally gainsay sociable draam t hat in reality have got something interesting t0 suppose .,positive,157,29,False,2025-08-07T11:39:30.452654
just not campy enough,jus t n ot cmpy enough,negative,27,4,False,2025-08-07T11:39:30.452667
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called best bad film you mentation was going to be really awful but was n't, guys would probably be duking it out with the queen of the damned for the honor.",positive,46,1,True,2025-08-07T11:39:30.452672
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","accurcy @nd realsm are terrific , but if your film becomes borign , amd your dailogue is n't smart , then yo u need to use more poetic license .",negative,161,29,False,2025-08-07T11:39:30.452684
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engrossing , characteristically building complex tom clancy thr1ller is shifty in the manner in which it turn to currnt terrorism anxieties and sidesteps them at the sa me tim e .",positive,163,28,False,2025-08-07T11:39:30.452696
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i hope the novie is wid3ly seen and debated with appropriate ferocity and consideration.,positive,54,8,True,2025-08-07T11:39:30.452708
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","free-base on dve barry 's pop bok of the same name , the move benefits fom ingest a ral writer diagram out altogether of the characters ' moes amd overlapping write up .",positive,179,32,False,2025-08-07T11:39:30.452717
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . now it 's just tired .",negative,36,6,False,2025-08-07T11:39:30.452729
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big fin1sh is a b it like getting all excited about a chocolate eclair and then b1ting into it and finding the fillign drop.,negative,49,5,True,2025-08-07T11:39:30.452737
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a pic equitable fo r friday fans, criics be blasted. if you already like this sort of thing , this is that sort of thing all over again .",positive,58,11,True,2025-08-07T11:39:30.452747
[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ lechatelierite and d e niro ] manage to squeeez out some good laughs but not enough to make this silly co n occupation sing .,negative,135,24,False,2025-08-07T11:39:30.452758
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","1t English hawthorn not make up a hu ge cu t of abve the pillow , only i enjoyed barershop . it 's a funny little movie with clever dialogue and likeable characters .",positive,161,30,False,2025-08-07T11:39:30.452767
"it's predictable , but it jumps through the expected hoops with style and even some depth .","i t '$ predictable , but i t jumps through with the expected hoos wit h styel and even some deepness .",positive,103,18,False,2025-08-07T11:39:30.453190
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally drery and overrwought bit of work, every bit as imperious as katzenberg 's the prince of egypt from 1998.",negative,34,2,True,2025-08-07T11:39:30.453204
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretary manages a net tr ick, bundling the flowers of perversity, conedy and romnace into a strangely temtping bouquet of a mvoie.",positive,54,7,True,2025-08-07T11:39:30.453218
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorous trim , seretary i s a mental roamnce that maintais a surprisingly buoyatn tome throughout , notwithstanding some of the writers ' sporadic dis i nto p op freudiani$m .",positive,165,31,False,2025-08-07T11:39:30.453231
