"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fairy -tale formula , serves as a paper skeleton for some very decent acting , dialogue , comedy , directi on and primarily amulet .",0.11699998378753662,0.32499998807907104,1,1,1,84,"Failed"
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it could count for very litt le if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .",0.328000009059906,0.6119999885559082,1,2,1,45,"Successful"
"the most surprising thing about this film is that they are actually releasing it into theaters .","the most surprising thing about this film is that they are actually releasing it into theaters .",1.0,1.0,1,1,0,1,"Skipped"
"a fan film that for the uninitiated plays better on video with the sound turned down .","a fan film that for the uninitiated plays better on video with the sound turned down .",1.0,1.0,2,2,0,1,"Skipped"
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up briefly .",0.1549999713897705,1.0,0,1,0,26,"Successful"
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hrut talented young gaghan's resume .",0.11299997568130493,0.671999990940094,1,2,1,23,"Successful"
"cho's timing is priceless .","ch'os timing is precious .",0.06999999284744263,0.6209999918937683,1,2,1,8,"Successful"
". . . a lesson in prehistoric hilarity .",". . . a lesson in prehistoric silliness .",0.15299999713897705,1.0,1,0,1,18,"Successful"
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .",0.6699999999999999,0.6699999999999999,2,2,1,1,"Skipped"
"an almost unbearably morbid love story .","an almost unbearably morbid love story .",1.0,1.0,0,0,1,1,"Skipped"
"if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !","if you grew up on scooby -- you'll adore this movie . mattհew lillard is birthed to toy shaggy !",0.06999999284744263,0.47699999809265137,1,1,1,62,"Failed"
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .",0.7240000069141388,0.7240000069141388,2,2,0,1,"Skipped"
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not , under any circumstances , consideⲅ taking a children smaller than middle school age to this wɑllow in cruԁe humor .",0.078000009059906,0.34299999475479126,0,0,0,60,"Failed"
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the sorriest and most sordid of human behavior on the screen , then laugh at how clever it's being .",0.3619999885559082,0.6369999945163727,0,2,0,22,"Successful"
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .",1.0,1.0,2,2,0,1,"Skipped"
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a resplendent , timeless and universal taⅼe of heated passions -- jealousy , betrayal , forgiveness and murder .",0.10199999809265137,0.5489999949932098,1,2,1,40,"Successful"
"ya-yas everywhere will forgive the flaws and love the film .","ya-yas everywhere will pardon the flaws and love the film .",0.43400001525878906,0.5259999930858612,1,2,1,22,"Successful"
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .",0.6209999918937683,0.6209999918937683,2,2,0,1,"Skipped"
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .",1.0,1.0,2,2,1,1,"Skipped"
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[gai] comes closer to any acrtess i can remember to personifying independence in its purest and , yes , most intimidating form .",0.2059999704360962,0.7039999961853027,1,2,1,27,"Successful"
"the pool drowned me in boredom .","the pool drowned me in bore .",0.07899999618530273,0.1850000023841858,0,0,0,10,"Failed"
"the tone is balanced , reflective and reasonable .","the tone is equilibrium , reflective and reasonable .",0.06400001049041748,0.15299999713897705,1,1,1,19,"Failed"
"brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .","affords an inexorable mixture of warｍth and humor and a constants embracing humanity in the faces of lif'es harshness .",0.050999999046325684,0.20499998331069946,1,1,1,67,"Failed"
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",0.5049999952316284,0.5049999952316284,2,2,0,1,"Skipped"
"writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .","writer/director alexander payne ( election ) and his cowriter jim taylor billiantly employ their quirky and fearleѕs ability to gaze american angst in the eye and end up la ughing .",0.0559999942779541,0.5119999945163727,1,2,1,94,"Successful"
"a well-done film of a self-reflexive , philosophical nature .","a well-dne flim of a self-reflеxive , philosophical nature .",0.06000000238418579,0.18599998950958252,1,1,1,40,"Failed"
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics , but through the peⲅverse pleasure of watching disney scrape the bottom of its own cracker barrel .",0.2149999737739563,0.5139999985694885,0,2,0,30,"Successful"
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an hilarious and abruptly insigհtful examination of sexual jealousy , resentment and the fine line between passion and preten ce .",0.12000000476837158,0.6049999892711639,1,2,1,81,"Successful"
"there ought to be a directing license , so that ed burns can have his revoked .","there ought to be a directing license , so that ed burns can have his ⲅevoked .",0.11699998378753662,0.7249999940395355,0,2,0,22,"Successful"
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most films these days are about anything , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .",0.45899999141693115,1.0,1,2,1,29,"Successful"
"i'm going to give it a marginal thumbs up . i liked it just enough .","i'm disappear to give it a marginal thumbs up . i liked it just enough .",0.2680000066757202,0.7330000102519989,1,2,1,20,"Successful"
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clint eastwood's blood work is a lot like a ԝell-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .",0.453000009059906,0.56700000166893,1,2,1,32,"Successful"
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is somebody that any art-house moviegoer is likely to find conclusive .",0.1119999885559082,0.6209999918937683,1,2,1,50,"Successful"
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plain , uոimaginative romantic comedies i've ever seen .",0.13899999856948853,1.0,0,2,0,29,"Successful"
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- undesrtand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .",0.15799999237060547,0.5069999992847443,1,2,1,35,"Successful"
"the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .","the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dlul .",0.11599999666213989,0.9249999970197678,0,2,0,24,"Successful"
"it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .","it's ⅼazy for a movie to avoid sloving one problem by trying to distract us with the solution to another .",0.10699999332427979,1.0,0,2,0,39,"Successful"
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no lika da accents so alright , but i tho roughly enjoyed the loved histories . jeff baio is turning in some deligh𝚝ful work on indie projects .",0.31800001859664917,0.49299997091293335,1,1,1,107,"Failed"
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .",0.9959999998100102,0.9959999998100102,2,2,0,1,"Skipped"
"alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .","alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .",0.5879999995231628,0.5879999995231628,2,2,0,1,"Skipped"
"martyr gets royally screwed and comes back for more .","martyr gets royally screwed and comes back for more .",1.0,1.0,0,0,1,1,"Skipped"
"i didn't laugh . i didn't smile . i survived .","i didn't laugh . i didn't smile . i survived .",0.8769999966025352,0.8769999966025352,2,2,0,1,"Skipped"
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overly stylized with lots of flash black-&-white frost frames reminiscent of a pseudo-hip luxury car commercially , ( it's ) at its wort when it's actually inside the ring .",0.078000009059906,0.5099999904632568,0,2,0,63,"Successful"
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .",0.8859999999403954,0.8859999999403954,2,2,0,1,"Skipped"
"a sometimes tedious film .","a sometimes laborious film .",0.12599998712539673,0.16600000858306885,0,0,0,9,"Failed"
"i admired this work a lot .","i envied this work a lot .",0.05299997329711914,0.0559999942779541,1,1,1,8,"Failed"
"staggeringly dreadful romance .","staggeringly drеadful romance .",0.08399999141693115,1.0,0,1,0,9,"Successful"
"a flawed but engrossing thriller .","a flawed but engrossing thriller .",0.8719999939203262,0.8719999939203262,2,2,1,1,"Skipped"
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the neighborhood -- scenery , sentiment and all -- the cinematic similar of a big , tender հug .",0.08300000429153442,0.3930000066757202,1,1,1,37,"Failed"
". . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .",". . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .",0.5379999876022339,0.5379999876022339,2,2,1,1,"Skipped"
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .",0.6969999969005585,0.6969999969005585,2,2,0,1,"Skipped"
"the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .","the quirky darma touches the nub and the funnyone thans to the energetic and permanently startling performance by rachel griffiths .",0.08300000429153442,0.1899999976158142,1,1,1,71,"Failed"
"director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .","director jay russell weight down his capricious fairy-tale with heavy sentiment and lightweight meaning .",0.2749999761581421,1.0,0,2,0,25,"Successful"
"the kind of primal storytelling that george lucas can only dream of .","the kind of primal narration that george lucas can only nightmares of .",0.07300001382827759,0.75,1,2,1,40,"Successful"
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .",0.5719999969005585,0.5719999969005585,2,2,1,1,"Skipped"
"it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .","it's so alright that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american redone .",0.0899999737739563,0.5740000009536743,1,2,1,41,"Successful"
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so fraiche that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .",0.19999998807907104,1.0,1,2,1,25,"Successful"
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .",1.0,1.0,2,2,0,1,"Skipped"
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .",1.0,1.0,2,2,1,1,"Skipped"
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud , ugly , irritating mo vie without any of its satirical salѵos hitting a disceⲅnible target .",0.08799999952316284,0.15299999713897705,0,0,0,49,"Failed"
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .",1.0,1.0,2,2,1,1,"Skipped"
"both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .","both a large tour through 300 hundred aged of russian cultural identity and a stnning technical achevement .",0.05299997329711914,0.5309999883174896,1,2,1,65,"Successful"
"fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .","fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to delight .",0.38599997758865356,0.5189999938011169,1,2,1,22,"Successful"
"this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .","this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .",1.0,1.0,1,1,0,1,"Skipped"
"it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .","it's the unsettling images of a war-ravaged land that prove more potent and rivting than the unlikely story of sarah and harrison .",0.44999998807907104,0.7409999966621399,1,2,1,28,"Successful"
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","Ьest of all is garcia , who perfectly portrays the desperation of a very insecure man .",0.24699997901916504,0.5649999976158142,1,2,1,20,"Successful"
"weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .","weiss and speck neer make a convincing case for the relevance of these two 20th-century footnotes .",0.16699999570846558,1.0,0,1,0,24,"Successful"
"everyone's to blame here .","everoyne's to blame here .",0.20999997854232788,0.6669999957084656,0,2,0,13,"Successful"
"changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .","changing lanes is an anomaly for a hollywooԁ movie ; it's a well-wirtten and occasionally problematic sociable drama that ac𝚝ually has something interesting to said .",0.06999999284744263,0.5879999995231628,1,2,1,110,"Successful"
"just not campy enough","just not campy enoսgh",0.10399997234344482,1.0,0,1,0,15,"Successful"
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .",1.0,1.0,1,1,0,1,"Skipped"
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .",0.8809999972581863,0.8809999972581863,2,2,0,1,"Skipped"
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engrossiոg , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .",0.4449999928474426,0.5300000011920929,1,2,1,33,"Successful"
"i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .","i hope the movie is largely seen and debated with appropriate ferocity and thoughtfulness .",0.3579999804496765,0.710999995470047,1,2,1,23,"Successful"
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","based on dave barry's popular book of the same name , the mo vie profit from having a re al writer plot out all of the characters' moves and overlapping story .",0.0690000057220459,0.5959999859333038,1,2,1,57,"Successful"
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . now it's just tired .",0.880000002682209,0.880000002682209,2,2,0,1,"Skipped"
"the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .","the big finish is a bite like getting all excited about a chocolate eclair and then bitiոg into it and finding the 𝚏illing miѕsing .",0.1629999876022339,0.7520000040531158,0,2,0,60,"Successful"
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .",1.0,1.0,1,1,0,1,"Skipped"
"[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .","[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .",0.7989999949932098,0.7989999949932098,2,2,0,1,"Skipped"
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it perhaps not be a hugе cut of above the rest , but i cared barbershop . it's a funny little movie with clever dialogue and likeable characters .",0.37199997901916504,0.5029999911785126,1,2,1,51,"Successful"
"it's predictable , but it jumps through the expected hoops with style and even some depth .","it's predictable , but it jumps through the expected hoops with style and even some depth .",0.6629999876022339,0.6629999876022339,2,2,1,1,"Skipped"
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally drery and overwrougհt bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .",0.11299997568130493,1.0,0,2,0,46,"Successful"
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretary manages a owl trick , bundling the flowers of perversity , comdey and romance into a strangely trying bouquet of a movіe .",0.10199999809265137,0.936999998986721,1,2,1,43,"Successful"
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .",0.55799999833107,0.55799999833107,2,2,1,1,"Skipped"
