example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
20,a fan film that for the uninitiated plays better on video with the sound turned down .,a fan fi1m th@t for the uninitiated plays better on video with the sound turned refine.,neutral,positive,17,3,True,0.9248554913294798,0.9411764705882353,multi_word,3,2025-08-12T00:38:26.105906
21,"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requ1res a clear sense of purpose, and in that oh - so - important category, the four feathers com es up shrt.",negative,positive,23,3,True,0.9568627450980393,0.23076923076923078,multi_word,3,2025-08-12T00:38:26.105919
22,". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intnese, twist - and - turn thirller tat certainly should n't hrt talent3d young gaghan 's summarise.",positive,negative,23,6,True,0.902127659574468,0.25,multi_word,3,2025-08-12T00:38:26.105925
23,cho's timing is priceless .,c ho 's timing represent pricele$s.,positive,negative,8,3,True,0.7741935483870968,1.1666666666666667,multi_word,3,2025-08-12T00:38:26.105930
24,. . . a lesson in prehistoric hilarity .,. . . a less0n Hoosier State prehistoric hilariyt.,positive,positive,10,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105939
25,"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the fim will play equally considerably along bth the standard an d giant sort.",positive,positive,50,30,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105984
26,an almost unbearably morbid love story .,an a1most unbeaarbly morbid love stoy.,negative,positive,9,3,True,0.9230769230769231,0.42857142857142855,multi_word,3,2025-08-12T00:38:26.105997
27,if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you 'll screw this movie. Gospel According to Matthew lillard be carry t o p lay shaggy!,positive,negative,24,6,True,0.784688995215311,0.6666666666666666,multi_word,3,2025-08-12T00:38:26.106005
28,"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer, christopher and grace are little more tan collections of quirky traits lifted from a screenwriter 's outline and thronw at actors charged with the 1mpossible task of making them jell.",negative,neutral,36,3,True,0.9791183294663574,0.07894736842105263,multi_word,3,2025-08-12T00:38:26.106015
29,"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not, under any circumstances, consider taking a child younger than middle school age t o this triumph in crued humor.",negative,neutral,23,3,True,0.921161825726141,0.34782608695652173,multi_word,3,2025-08-12T00:38:26.106025
30,"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the soriest and most srodid of human behavior on the screen, then laguhs at how clever it 's being.",negative,positive,21,3,True,0.9629629629629629,0.13636363636363635,multi_word,3,2025-08-12T00:38:26.106031
31,"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","a lex noe 's objective pla ys like a travelogue for what mostly resemble a real - life, big - budget nc-17 version 0f tank girl.",positive,neutral,23,6,True,0.8941176470588236,1.0769230769230769,multi_word,3,2025-08-12T00:38:26.106036
32,"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beauitful, dateless and worldwide fib o f heated passions -- jealousy, betrayal, foriveness and murder.",positive,positive,18,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106045
33,ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forigve the flaws amd do it the film.,positive,negative,13,3,True,0.8852459016393442,0.5384615384615384,multi_word,3,2025-08-12T00:38:26.106050
34,"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movie, my mi nd kept returning to one anecdote for comparison : the catroon in japan that gave mass seizures.",negative,neutral,24,3,True,0.946236559139785,0.76,multi_word,3,2025-08-12T00:38:26.106061
35,"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin powers in goldmeber is a cinematic car wreck, a catastrophic collision o f tastelessness and gall tat nevertheless will leave fans clamoring for another ride.",negative,neutral,27,3,True,0.984984984984985,0.5925925925925926,multi_word,3,2025-08-12T00:38:26.106066
36,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ gai ] seed cheeseparing to any acress i can remember to be indep3ndence in its everlasting and, yes, most intimidating form.",positive,negative,24,6,True,0.8031496062992126,0.24,multi_word,3,2025-08-12T00:38:26.106080
37,the pool drowned me in boredom .,the pool dronwed ne in boreodm.,negative,neutral,9,3,True,0.8888888888888888,0.42857142857142855,multi_word,3,2025-08-12T00:38:26.106086
38,"the tone is balanced , reflective and reasonable .","the tone embody balanced, pensive an d reasonable.",positive,positive,11,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106093
39,brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,bings an irresisible bled of wramth and huor and a consitsent embraing humnaity i n the f@ce o f lif3 's harshness.,positive,negative,23,12,True,0.9184549356223176,0.8571428571428571,multi_word,3,2025-08-12T00:38:26.106099
40,"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragabg of promising i deas and faild narrative, of good acting and pain old big filmmaikng.",negative,neutral,20,6,True,0.9312169312169312,0.8888888888888888,multi_word,3,2025-08-12T00:38:26.106109
41,writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,author / manager Smyrnium olusatrum payne ( election ) a nd his co - writer jim taylor brightly employ their way - out and fearl3ss ability to lok american angst in the eye and end up laguhing.,positive,positive,34,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106117
42,"a well-done film of a self-reflexive , philosophical nature .","a easily - don e pic of a self - reflexive, philosophical nature.",positive,neutral,12,3,True,0.8571428571428571,0.9285714285714286,multi_word,3,2025-08-12T00:38:26.106127
43,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains no t so much because of its music or comic antics, but through the pervesre pleasure of watching disney scarpe the bottom of its own cracker barrel.",negative,negative,29,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106134
44,"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an risible and unexpectedly inisghtful examination of sexual jealousy, resentment and the fine line between passion and pretext.",positive,negative,20,3,True,0.9266409266409267,0.15,multi_word,3,2025-08-12T00:38:26.106142
45,"there ought to be a directing license , so that ed burns can have his revoked .","there ough t to be a directing license, so that ed burns can have h1s annul.",negative,negative,18,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106147
46,"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most films thee da ys are about nothign, this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",positive,neutral,27,3,True,0.9776357827476039,0.9285714285714286,multi_word,3,2025-08-12T00:38:26.106154
47,i'm going to give it a marginal thumbs up . i liked it just enough .,i 'm going t o give i t a marginal riffle up. i care i t just enouhg.,positive,positive,18,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106160
48,"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","climt eastwood 's blod exploit is a lot same a substantially - throw p b & j sandwich : fmailiar, fairly uneventful and boasting no real surprises  but sitll quite tatsy an d invitig all the same.",positive,neutral,34,12,True,0.8548812664907651,0.868421052631579,multi_word,3,2025-08-12T00:38:26.106164
49,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its $tory about a young chinese woman, ah na, who has come to new york city to replace past tragedy with the american dream i$ unity t hat any art - house moviegoer is likely to uncovering cmopelling.",positive,positive,39,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106184
50,"one of the most plain , unimaginative romantic comedies i've ever seen .","o ne o f the most plain, unimagin@tive romantic comedies i 've ever seen.",negative,negative,13,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106191
51,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","phillip noyce and all o f hi s actors -- as well as his cinematographer, christopher doyle -- understand the deilcate forcefulness of greee 's pro se, and it 's there on the cover in their version of the quiet american.",positive,positive,39,15,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106194
52,the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the transporter bombards the viewer with so many explosions and side snap kicks tat it destruction up being surprisingly dul1.,negative,positive,22,3,True,0.9392712550607287,0.14285714285714285,multi_word,3,2025-08-12T00:38:26.106204
53,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's laz y for a movie to avoid solivng one problem by tring to distract us with the solution to another.,negative,neutral,22,3,True,0.9716981132075472,0.9545454545454546,multi_word,3,2025-08-12T00:38:26.106209
54,"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no l ika da accent s o goo d, but i good enjoyed the love story. George C. Scott bio embody turn over in some dlightful mould on i ndie projects.",positive,positive,32,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106216
55,"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short @nd sweet, simply also more than anything else slight tadpole pulls back from the consequences of its own actions a nd revelations.",neutral,positive,25,3,True,0.9485294117647058,0.25,multi_word,3,2025-08-12T00:38:26.106221
56,alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alarms fo r duall 's throbbing sincerity and his elderly propensity for patting peop1e while he talks.,negative,neutral,19,3,True,0.9705882352941176,1.0,multi_word,3,2025-08-12T00:38:26.106227
57,martyr gets royally screwed and comes back for more .,martyr ges roy@lly srewed and comes back for more.,negative,positive,13,3,True,0.9514563106796117,0.3,multi_word,3,2025-08-12T00:38:26.106233
58,i didn't laugh . i didn't smile . i survived .,i d1d n't lauh. i d id n't smile. i survived .,negative,neutral,12,3,True,0.9130434782608695,0.8461538461538461,multi_word,3,2025-08-12T00:38:26.106241
59,"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","oevrly stylized with lots of flash black-&-white block frmes reminiscent of a pseuo - hip luxury car commecial, ( it 's ) at its wort when it 's actually inside the ring.",negative,neutral,29,6,True,0.9329446064139941,0.17647058823529413,multi_word,3,2025-08-12T00:38:26.106246
60,"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reebo1r varies between a swee t sm1le an d an angry bark, while said attempts to wear down posible pupils through repetitin. it has no affect on the kurds , but it wore me down .",negative,negative,25,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106258
61,a sometimes tedious film .,a soemtimes ted1ous f ilm.,negative,positive,7,3,True,0.8846153846153846,1.0,multi_word,3,2025-08-12T00:38:26.106269
62,i admired this work a lot .,i admired this work a lot .,positive,positive,8,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106276
63,staggeringly dreadful romance .,staggeringyl dreafdul roance.,negative,negative,7,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106283
64,a flawed but engrossing thriller .,a flawed but engrossing thriller .,positive,positive,8,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106289
65,"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","etferiades gives the neighborhod -- scene, vibration and a ll -- the cineatic combining weight of a big, tedner hu g.",positive,positive,19,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106291
66,. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . thee 's 3nough col play Hera t o wam the haerts 0f animtion enthusiasts o f all a ges.,positive,positive,25,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106301
67,"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . angstrom unit for childr3n, t hey wo n't enjyo the movie atomic number 85 a ll.",negative,negative,16,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106312
68,the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the quiky dama partake the heat a nd the funnybone thans to the industrious and always storm performance aside rachel griffiths.,positive,positive,23,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106319
69,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,diector jay russell weighs d own his capricious fairy - tale with heavy sentiment and lightwieght meaning.,negative,positive,19,3,True,0.966824644549763,0.8823529411764706,multi_word,3,2025-08-12T00:38:26.106323
70,the kind of primal storytelling that george lucas can only dream of .,the form o f primal stortyelling that george lucsa can on ly drea m of.,positive,positive,16,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106328
71,"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful, inflammatory fil m @bout religin th at make bold to question an ancient faith, and about hatred that offers no more easy, comfortable resolution.",positive,positive,25,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106333
72,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it 's and then full that you can practically see the hollywood ' suits ' trying to put together the cast and filmmaking team for the all - too -inevitable american refashion.,positive,negative,27,3,True,0.9014925373134328,0.96875,multi_word,3,2025-08-12T00:38:26.106342
73,"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting live so col that it chills the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductively fashionable game.",positive,negative,25,3,True,0.930379746835443,0.10344827586206896,multi_word,3,2025-08-12T00:38:26.106352
74,"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuses t0 Army of the Righteous slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the gross - out comdy.",neutral,neutral,31,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106371
75,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelnetingly cluastrophobic and upleasant.",negative,positive,13,3,True,0.9846938775510204,0.08333333333333333,multi_word,3,2025-08-12T00:38:26.106378
76,"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a l oud, uly, irrit@ting moive without a ny of its satirical salvos hitting a disecrnible target.",negative,negative,18,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106386
77,"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care constitute nicly performed by a quintet of actresses, but nonetheless it sweep up during its 112 - minute length.",neutral,positive,21,3,True,0.8898305084745762,0.5,multi_word,3,2025-08-12T00:38:26.106393
78,both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,bo th a gand tour throuhg 300 hunderd twelvemonth o f russain cultural identity and a stun technical ahievement.,positive,positive,20,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106398
79,fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fesenden 's marrative equal merely antiophthalmic factor mch a bout the ownership and redefinition of myth as it is about a domestic unit fimding their elbow room to joy.,positive,positive,29,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106403
80,this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this i s the kind of movie where people who have ne'er picked a lock do so easily after a few tries and go expert fighters after a few weeks.,positive,positive,29,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106408
81,it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,information technology 's the unsettling icon o f a w ar - ravaged body politic th@t prove more potnet a nd riveting thn the unlikely story of sarah and harrison.,positive,positive,26,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106413
82,"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","trump of all constitute garia, who perfectly portrays the desperation of a very insecure man.",positive,negative,17,3,True,0.8888888888888888,0.17647058823529413,multi_word,3,2025-08-12T00:38:26.106420
83,weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,weiss and sp eck nevre make a convimcing case for the relevance of these two 20th - century footnotes.,negative,negative,18,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106426
84,everyone's to blame here .,eeryone 's t o blmae here.,negative,positive,8,3,True,0.8846153846153846,1.0,multi_word,3,2025-08-12T00:38:26.106431
85,changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,ch@nging lan3s i s an anomaly for a hollywo0d flick ; information technology 's a well - publish @nd occasionally intriguing socal drama th at actually has something interesting to s@y.,positive,positive,29,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106435
86,just not campy enough,just not campy enough,negative,negative,8,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106440
87,"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called best bad film you tohught was gong to be really frightfully but was n't, guys would probably be duking it out with the queen of the damned for the honor.",positive,negative,35,3,True,0.9560439560439561,0.07894736842105263,multi_word,3,2025-08-12T00:38:26.106443
88,"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","acuracy an d naive realism are terrific, but if your film becomes boring, and your dialogue is n't smart, thn you need to utilize moe poetic license.",negative,neutral,29,6,True,0.9283276450511946,1.0689655172413792,multi_word,3,2025-08-12T00:38:26.106450
89,"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","tis engossing, characteritsically building complex tom clancy thirller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the s@me time.",positive,negative,29,6,True,0.9467787114845938,1.0,multi_word,3,2025-08-12T00:38:26.106456
90,i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i hope the mvoie is wideyl seen a nd debated with appropriate ferocity and thoughtfulness.,positive,neutral,16,3,True,0.9666666666666667,0.7333333333333333,multi_word,3,2025-08-12T00:38:26.106461
91,"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","establish o n dave bar ry 's pop boo k of the Lapplander figure, the moie profit fr0 m having a re@l wrter plot out all of the characters ' moves and overlapping story.",positive,positive,31,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106466
92,"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . no w information technology 's merely tired.",negative,negative,10,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106471
93,the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big fiish is a b it like sire all excited about a chocolate eclair and then bting into it and finding the fliling msising.,negative,negative,25,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106475
94,"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a mvie just f0r friday fans, critics equal damned. i f you already similar th1s sort of thin g, th is exist that sort of thing all over again.",positive,negative,33,9,True,0.8953068592057761,0.8333333333333334,multi_word,3,2025-08-12T00:38:26.106480
95,[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ crystal and d e niro ] manage to squeee out some good laughs simply not enough to make this airheaded sting farm out sing.,negative,neutral,26,6,True,0.8154506437768241,0.9583333333333334,multi_word,3,2025-08-12T00:38:26.106485
96,"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it nay non follow a hug e cut of above the rest, b ut i enjoyed barbershop. 1t 's a funny litle movie with cagey dialogue and lieable characters.",positive,positive,30,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106490
97,"it's predictable , but it jumps through the expected hoops with style and even some depth .","it 's predictable, but it jumps through the expected hoops wi th mode and even some d epth.",positive,neutral,18,3,True,0.9340659340659341,0.5,multi_word,3,2025-08-12T00:38:26.106502
98,"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally dr3ary and ovewrrought bit o f work, every bit as imperious as katzenberg 's the prince of egypt from 1998.",negative,positive,21,3,True,0.967741935483871,0.8695652173913043,multi_word,3,2025-08-12T00:38:26.106507
99,"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretary manages a n eat trick, bundling the flowers of perversity, coedy and romance into a strangely tempting bouquet of a movi e.",positive,positive,21,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106512
100,"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","fo r al l the dolorous trm, writing table is a amiable roance tht maintains a astonishingly buoynat tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",positive,positive,29,9,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.106517
