original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' c q may one da y be fondly remembered as roma n Francis Ford Coppola 's br ief pretentious period before going on to other films that actually tell a story worth caring about,negative,17,741,5,False,2025-08-12T00:30:09.783428
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational $creenplay by mie rich cut across a lo t of gronud, perhaps too much, but ties things together, neatly, by the end.",positive,20,741,5,False,2025-08-12T00:30:09.783444
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably wo rth catching solely on its visual merits. if only it had the story to match .,positive,4,741,1,True,2025-08-12T00:30:09.783458
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","faiy - tle normal, suffice as a newspaper skeleton for some very good acting, dialogue, comedy, direction and especially charm.",positive,24,741,5,False,2025-08-12T00:30:09.783471
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the col or sensation of sutart little 2 is its most immeidate and most obvious pleasuer, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",positive,19,741,5,False,2025-08-12T00:30:09.783485
the most surprising thing about this film is that they are actually releasing it into theaters .,the most suprising affair about this plastic film is that they are actually releasing it into theaters.,positive,14,741,3,True,2025-08-12T00:30:09.783503
a fan film that for the uninitiated plays better on video with the sound turned down .,a fa n film that for the uninitiated plays better on video with the sound turned down.,neutral,3,741,1,True,2025-08-12T00:30:09.783516
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sese of purpoes, and in that Ohio - so - important cat3gory, the four plumage comes up short.",negative,21,741,5,False,2025-08-12T00:30:09.783527
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise itense, twis t - and - t urn thrillre that certainly should n't hrt talented young gaghan 's resume.",positive,18,741,5,True,2025-08-12T00:30:09.783541
cho's timing is priceless .,cho 's tiimng is priceles$.,positive,8,741,2,True,2025-08-12T00:30:09.783554
. . . a lesson in prehistoric hilarity .,. . . a lesosn in prehist0ric hliarity.,positive,13,741,3,True,2025-08-12T00:30:09.783563
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will wager equally well on both the stanadrd and giat screes.",positive,58,741,4,False,2025-08-12T00:30:09.783572
an almost unbearably morbid love story .,an almost unbearably morid love story.,negative,3,741,1,True,2025-08-12T00:30:09.783592
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you'll love this movie . St. Matthew lillad is put up to pay shgagy!,positive,31,741,5,True,2025-08-12T00:30:09.783601
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by Mister. scha3ffer, St. Christopher and gr ace are little more than colections of quirky traits lifted from a screenwriter 's outline and thrown at actors charged with the impossible task of making them jell.",negative,18,741,5,False,2025-08-12T00:30:09.783613
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not, under any circumstances, consider taking a chlid younger than midle schoo1 ag e to this wallow in crude humor.",negative,21,741,4,False,2025-08-12T00:30:09.783689
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depits the soriest and most sordid of human behavior on the screen, then laughs at how clever it 's being.",negative,6,741,2,True,2025-08-12T00:30:09.783707
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","al ex nohe 's documentary plays like a travelogue for what mostly resembles a real - life, big - budget nc-17 version of tank girl.",positive,3,741,1,True,2025-08-12T00:30:09.783721
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beautiful, dateless and universal proposition tle of heated pasions -- jealousy, betrayal, forgiveness and murder.",positive,19,741,4,False,2025-08-12T00:30:09.783735
ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forgive the flaws and loe the filn.,positive,18,741,2,False,2025-08-12T00:30:09.783748
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuf g1rls m ovie, my min d preserve returning to one anecdote for comparison : the cartoon in japan that gave people seizures.",negative,21,741,5,False,2025-08-12T00:30:09.783758
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","capital of Texas office in goldmembr is a cinematic elevator car wrcek, a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride.",negative,20,741,5,False,2025-08-12T00:30:09.783773
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ g@i ] comes coser to any @ctress i can remember to personifying independence in its purest and, yes, most intimidating form.",positive,10,741,3,False,2025-08-12T00:30:09.783789
the pool drowned me in boredom .,th e p0ol dorwned me in boerdom.,negative,12,741,4,True,2025-08-12T00:30:09.783803
"the tone is balanced , reflective and reasonable .","th e tonus is balanced, ruminative an d reasonale.",positive,17,741,5,False,2025-08-12T00:30:09.783812
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brings an irresistible blend of warmth and hum or and a coherent embracing humanity in the face of life 's harshness.,positive,23,741,2,False,2025-08-12T00:30:09.783821
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a rabgag of prom1sing ides and failed narrative, of good acting and plai n old bad filmmaking.",negative,15,741,4,True,2025-08-12T00:30:09.783834
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,positive,16,741,0,False,2025-08-12T00:30:09.783846
"a well-done film of a self-reflexive , philosophical nature .","a well - done shoot of a ego - refleive, phlosophical nautre.",positive,17,741,5,False,2025-08-12T00:30:09.783863
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","enterains not so much because of its m usic or comic antcis, but through the reprobate pleasure of watching disney scrape the bottom of its own cracker barrel.",negative,18,741,4,True,2025-08-12T00:30:09.783873
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an amusing and unexpectedly insightful exam of sexual jelaousy, rancour and the mulct line between passion and pretence.",positive,19,741,4,False,2025-08-12T00:30:09.783888
"there ought to be a directing license , so that ed burns can have his revoked .","on that point ought to be a directing liense, and then that e d bu rns can have his revoked.",negative,20,741,5,False,2025-08-12T00:30:09.783902
"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while most fils these Clarence Day are about nothing, this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",positive,10,741,2,True,2025-08-12T00:30:09.783914
i'm going to give it a marginal thumbs up . i liked it just enough .,i'm going to give it a marginal thumbs up . i liked it hardly enough.,positive,6,741,1,True,2025-08-12T00:30:09.783929
"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","cli nt eastwood 's blod wor k is a shell out like a well - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same.",positive,21,741,4,False,2025-08-12T00:30:09.783939
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","its sory about a young chinese wmoan, @h sodium, who has come to new House of York city to replace past tragedy with the american dream is one that any art - house moviegoer is likely to find compelling.",positive,21,741,5,False,2025-08-12T00:30:09.783959
"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plian, unmaginative romantic drollery i 've ever seen.",negative,12,741,3,True,2025-08-12T00:30:09.783976
"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","philip nyoce and all of his ators -- as well as his cinematogr@pher, St. Christopher doyle -- understand the delicate forcefulness of greene 's prose, and it 's there on the screen in their version of the quiet american.",positive,20,741,5,False,2025-08-12T00:30:09.783987
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the transporter bmobards the witness with so many exlposions and s ide snap kicks that it ends up being surprisingly dull.,negative,22,741,4,False,2025-08-12T00:30:09.784005
it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it 's l azy for a novie to avoi d solving one job by trying to distarct us with the solution to another.,negative,22,741,5,False,2025-08-12T00:30:09.784019
"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","me no lika da accents so good, but i thoroughly enjoyed the have it off story. scott baio is turning in some delightful work on indie projects .",positive,35,741,1,False,2025-08-12T00:30:09.784031
"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sw eet, but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations.",neutral,3,741,1,True,2025-08-12T00:30:09.784071
alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,alrms for duvall 's throbbing sincerity and his elderly propensity for patting people while he talks.,negative,3,741,1,True,2025-08-12T00:30:09.784087
martyr gets royally screwed and comes back for more .,martyr gets royalyl screwed and comes back for more.,negative,7,741,1,True,2025-08-12T00:30:09.784099
i didn't laugh . i didn't smile . i survived .,i did n't l augh. i didn't smile . i survived .,negative,5,741,1,True,2025-08-12T00:30:09.784109
"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .",negative,20,741,0,False,2025-08-12T00:30:09.784119
"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies between a swete smile and an angry bark, while said attempts to wear down possible pupils through repetition. it has no affect on the kurds , but it wore me down .",negative,23,741,1,False,2025-08-12T00:30:09.784135
a sometimes tedious film .,a someties teidous fi lm.,negative,9,741,3,True,2025-08-12T00:30:09.784151
i admired this work a lot .,i admired t his make a lo t.,positive,11,741,3,False,2025-08-12T00:30:09.784159
staggeringly dreadful romance .,staggerngly dreadful roance.,negative,10,741,2,False,2025-08-12T00:30:09.784168
a flawed but engrossing thriller .,a flawed bu t engrossing thriller.,positive,5,741,1,True,2025-08-12T00:30:09.784176
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","eft3riades gives the neihborhood -- scene, vibration and all -- the cinematic equivaletn of a big, tender hug.",positive,21,741,5,False,2025-08-12T00:30:09.784185
. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,positive,22,741,0,False,2025-08-12T00:30:09.784197
"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for chlidren, they wo n' t ejoy t he pic at all.",negative,18,741,5,False,2025-08-12T00:30:09.784209
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the quirky drama touches the heat and the funnyboe thanks to the energetic and always surprising performance by rachel griffiths.,positive,20,741,2,False,2025-08-12T00:30:09.784234
director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,d1rector j@y russll weighs down his capricious fairy - tale with heavy sentiment and lightweight meaning.,negative,10,741,3,True,2025-08-12T00:30:09.784376
the kind of primal storytelling that george lucas can only dream of .,the variety of primeval storytelling that gorge luc as can only draem of.,positive,24,741,5,False,2025-08-12T00:30:09.784404
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful, inflammatory plastic film about religious belief that dares to question an ancient faith, and about hatred that offers no easy, comfortable resolution.",positive,12,741,2,True,2025-08-12T00:30:09.784413
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,positive,19,741,0,False,2025-08-12T00:30:09.784426
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so col that it cills the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductively stylish game.",positive,7,741,2,True,2025-08-12T00:30:09.784437
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","n icks refuses to let slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the gross - out comedy.",neutral,3,741,1,True,2025-08-12T00:30:09.784448
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her flm is unreelntingly claustrophobic a nd unpleasat.",negative,18,741,4,False,2025-08-12T00:30:09.784460
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud, ugly, irritating movie without any of its sat1rical salvos hitting a discernible butt.",negative,23,741,2,False,2025-08-12T00:30:09.784472
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take upkeep is nicely performed by a quintuple of acrtesses, but nonetheless it drag s during its 112 - minue length.",neutral,22,741,5,False,2025-08-12T00:30:09.784482
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,positive,23,741,0,False,2025-08-12T00:30:09.784492
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessendem 's narrative is just as much about the ownership and redefinitino of myth as it is about a domestic uni t finding their way to joy.,positive,18,741,3,False,2025-08-12T00:30:09.784501
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this is the variety of mov ie where citizenry who have never pickde a lock in do so easily after a few tries and become expert fighters after a few weeks.,positive,22,741,5,False,2025-08-12T00:30:09.784512
it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,it 's the unsettling images of a warfare - ravaged bring down that try out more pot3nt and riveting than the unlikely story of sarah and harrison.,positive,22,741,4,False,2025-08-12T00:30:09.784522
"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","best of all is garc1a, who perfectly limn the despration of a very unsafe military man.",positive,20,741,5,False,2025-08-12T00:30:09.784532
weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,w eiss and spekc never make a conv1ncing slip for the relevance of these two 20th - century footnotes.,negative,19,741,4,True,2025-08-12T00:30:09.784613
everyone's to blame here .,eveyrone 's to bl ame here.,negative,6,741,2,True,2025-08-12T00:30:09.784623
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,changing lanes is an anomalousness for a hollyw0od mvie ; it 's a well - written and occasionally challenging social dr@ma that actually has something interesting to say.,positive,25,741,4,False,2025-08-12T00:30:09.784630
just not campy enough,but not camp enough,negative,10,741,2,True,2025-08-12T00:30:09.784642
"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if Academy Award had a family called best bad plastic film you consider was going to be really awful but was n't, guys would probably be duking it out with the queen of the damned for the honor.",positive,17,741,4,True,2025-08-12T00:30:09.784648
"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","accuarcy and relaism are terrific, but if your film becomes boring, and your dialogue is n't smart, then you need to use more poetic license.",negative,7,741,2,True,2025-08-12T00:30:09.784660
"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","this engrossing, characteristically complex tom turkey cancy thrillre is shity in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time.",positive,11,741,4,True,2025-08-12T00:30:09.784671
i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i hoe the movei is widely seen and debated with allow violence and thoughtfulness.,positive,17,741,4,True,2025-08-12T00:30:09.784683
"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","based on dave barry 's popular bok of the same nae, the mov ie benefits from having a real writer plot out all of the characters ' moves and overlapping story.",positive,20,741,3,False,2025-08-12T00:30:09.784691
"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . n ow it 's just tired.",negative,4,741,1,True,2025-08-12T00:30:09.784702
the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big land up is a b it like getting all excited about a choolate ecl@ir and then bitnig into it and finding the filling missing.,negative,19,741,5,False,2025-08-12T00:30:09.784710
"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a moving picture just for friady f@ns, crtics be damned. if you already like this sort of thing , this is that sort of thing all over again .",positive,16,741,4,True,2025-08-12T00:30:09.784720
[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ crytsal and d3 nir o ] manage to squeeze out some good laughs but not enough to make this silly con job sing.,negative,13,741,3,False,2025-08-12T00:30:09.784731
"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","it may not be a hue cu t of above the re$t, but i enjoyed barbershp. it 's a shady little movei with clevre negotiation and likeable chaarcters.",positive,35,741,9,False,2025-08-12T00:30:09.784740
"it's predictable , but it jumps through the expected hoops with style and even some depth .","it 's predictable, but it jumpstart through the expected hoos with mode and even some d epth.",positive,16,741,4,True,2025-08-12T00:30:09.784750
"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptionally dreary and oevrwrought b it of wrk, every b it as imperious as katzenbrg 's the prince of egypt from 1998.",negative,16,741,5,False,2025-08-12T00:30:09.784759
"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secretary make out a net pull a fast one on, practice bundling the flowers of perversity, comedy and romance into a strangely tempting bouquet of a movie.",positive,23,741,4,False,2025-08-12T00:30:09.784769
"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","for all the dolorous snip, seretary is a mental romnce that maintanis a surprisingly buoyant tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",positive,22,741,5,False,2025-08-12T00:30:09.784779
