example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
11,"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman 's breakdown, the film nevertheless works up a few scaes.",neutral,positive,17,1,True,0.9801980198019802,0.05,adaptive_gradual,3,2025-08-12T02:16:56.121953
12,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,neutral,5,0,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.121962
13,"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","m ore vaudevi1le sow than well - manufacture narr@tive, but along thos e terms it 's inoffensive and in reality rather sweet.",positive,positive,28,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.121971
14,'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered @s roman coppola 's brief pretentious period before going on to other films that actualy te1l a story worth caring about,negative,positive,32,3,True,0.9777777777777777,0.10344827586206896,adaptive_gradual,3,2025-08-12T02:16:56.121978
15,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspiraitonal screepnlay by mike rich covers a mickle of ground, prhaps too much, but draw thing togethr, nealy, by the e nd.",positive,neutral,31,9,True,0.8897338403041825,0.4074074074074074,adaptive_gradual,3,2025-08-12T02:16:56.121985
16,it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably worth catching solely on IT visual merits. if only it had the story to match .,positive,neutral,15,1,True,0.9625668449197861,0.05,adaptive_gradual,3,2025-08-12T02:16:56.121993
17,"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fag - ta1e f0rmula, seves a s a paper skeleton f or some very good acting, dialogue, comedy, direction and espeially char m.",positive,positive,26,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122003
18,"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the discolour snese 0f staurt litle 2 i s its most immediate and most obviou$ pleasure, bu t it wolud count for very l1ttle if the movie were n't as beautiflly shaped and as delicately calibrated in tone as it is.",positive,positive,49,11,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122010
19,the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this shoot is that they are actua1ly releasing it into thaters.,positive,neutral,20,3,True,0.9319371727748691,0.17647058823529413,adaptive_gradual,3,2025-08-12T02:16:56.122020
20,a fan film that for the uninitiated plays better on video with the sound turned down .,a lover f ilm th at for the uninitiated plays better on video with the sound turned don.,neutral,positive,19,4,True,0.9310344827586207,1.0588235294117647,adaptive_gradual,3,2025-08-12T02:16:56.122036
21,"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up sort.",negative,positive,23,1,True,0.968503937007874,0.038461538461538464,adaptive_gradual,3,2025-08-12T02:16:56.122051
22,". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense, twist - and - turn thriller that certainly should n't smart talented young gaghan 's resume.",positive,negative,22,1,True,0.9446808510638298,0.041666666666666664,adaptive_gradual,3,2025-08-12T02:16:56.122067
23,cho's timing is priceless .,ch o 's timing is priecless.,positive,positive,9,2,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122078
24,. . . a lesson in prehistoric hilarity .,. . . a moral in prehistoric hialrity.,positive,neutral,11,2,True,0.8461538461538461,0.2222222222222222,adaptive_gradual,3,2025-08-12T02:16:56.122150
25,"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a good script, good dialogue, funny even f0r adults. the type embody worry @nd ofetn very creatviely constructed from figure t o backstory. the film will playact equally w ell on both the standard and giant screens.",positive,positive,49,27,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122162
26,an almost unbearably morbid love story .,an nearly unbear@bly morbid lov e stoy.,negative,positive,12,4,True,0.8354430379746836,0.8571428571428571,adaptive_gradual,3,2025-08-12T02:16:56.122179
27,if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,1f y ou produce up along scooy -- y ou 'll lve this movie. St. Matthew lillard 1s assume t o play shaggy!,positive,positive,33,11,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122190
28,"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr. schaeffer, christopher and grace are little more t han collections of quirky traits lifted from a screenwriter 's outline and trhown at actors charged with the impsosible task of making them jell.",negative,neutral,38,3,True,0.9699769053117783,0.6842105263157895,adaptive_gradual,3,2025-08-12T02:16:56.122203
29,"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not, under any circumstances, consider taking a child younger than middle school age t0 this triumph in crued humor.",negative,neutral,24,3,True,0.9166666666666666,0.13043478260869565,adaptive_gradual,3,2025-08-12T02:16:56.122214
30,"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the sorriest and most sordid of human behavior on the screen, then laguhs at how clever it 's being.",negative,positive,21,1,True,0.9769585253456221,0.045454545454545456,adaptive_gradual,3,2025-08-12T02:16:56.122222
31,"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","aex n ohe 's documentary plas like a travelogue for what mostly resemble a real - life, bi g - budget nc-17 version o f tank girl.",positive,positive,27,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122247
32,"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a beautiul, tmieless a nd universal joint fib of heated passions -- jealousy, betrayal, forgvieness and murder.",positive,positive,20,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122260
33,ya-yas everywhere will forgive the flaws and love the film .,y a - y as everywhere will forgve the flaws a nd lve the film.,positive,positive,17,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122267
34,"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watchng the poewrpuff g1rls film, m y mid kep t returning to ome anecdote for comparison : the c@rtoon in japan that gave pople seizures.",negative,negative,33,10,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122277
35,"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","@ustin poewrs i n goldmembr is a cinematic car wreck, a catastrophic collision o f tastelessness and gall that nevertheless will leave fans clamoring for another ride.",negative,negative,31,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122288
36,"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ ga i ] amount confining to any acterss i can remember to personifyng imdependence in its pure$t and, yes, most intimidating form.",positive,positive,29,7,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122305
37,the pool drowned me in boredom .,the pool overwhelm me in boerdom.,negative,positive,10,2,True,0.8,0.2857142857142857,adaptive_gradual,3,2025-08-12T02:16:56.122313
38,"the tone is balanced , reflective and reasonable .","the tne is poise, reflective and reasonble.",positive,positive,12,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122319
39,brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,get an resistless ble nd of wartmh and hu mor and a consistet embracing human race in the aspect of animation 's harshness.,positive,neutral,23,9,True,0.7966804979253111,1.0952380952380953,adaptive_gradual,3,2025-08-12T02:16:56.122325
40,"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragbg of promising thought and faled narrative, of good acting and plian old b ad filmmaing.",negative,neutral,24,6,True,0.8947368421052632,0.4444444444444444,adaptive_gradual,3,2025-08-12T02:16:56.122336
41,writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,writer / director alexander paye ( eletion ) a nd his carbon monoxide gas - writer jim taylor brightly employ their quirky and fearles ability to attend american angst in the eye and end up l@ughing.,positive,positive,36,11,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122351
42,"a well-done film of a self-reflexive , philosophical nature .","a w ell - done film of a self - reflexive, philosophical nature.",positive,positive,12,1,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122367
43,"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains mot so much because of its music or comic antics, but through the pervese pleasure of watching disney scraep the bototm of its own cracker barrel.",negative,positive,32,4,True,0.9716088328075709,0.13793103448275862,adaptive_gradual,3,2025-08-12T02:16:56.122380
44,"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an amuse an d by chance insghtful examination of sexual jealousy, resentment and the fine line between passion @nd make - believe.",positive,positive,22,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122395
45,"there ought to be a directing license , so that ed burns can have his revoked .","there oug ht to be a directing license, so that ed burns can have his r3voked.",negative,positive,19,2,True,0.9681528662420382,1.0,adaptive_gradual,3,2025-08-12T02:16:56.122408
46,"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world .","while mo st fimls the se day are about noth1ng, this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world.",positive,neutral,31,5,True,0.9681528662420382,1.0357142857142858,adaptive_gradual,3,2025-08-12T02:16:56.122415
47,i'm going to give it a marginal thumbs up . i liked it just enough .,i 'm going to give i t a marginal thumbs up. i likd information technology just enough.,positive,positive,19,3,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122429
48,"clint eastwood's blood work is a lot like a well-made pb& j sandwich : familiar , fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same .","clnt eastwod 's bloodline wok i s a heap lie a we ll - made pb & j sandwich : familiar, fairly uneventful and boasting no real surprises  but still quite tasty and inviting all the same.",positive,positive,38,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122444
49,"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling .","it s floor about a young chinese woman, ah na, who has coe to new york city to interchange past tragedy w1th the american dream personify on e that any art - house moviegoer is likely to find oblige.",positive,positive,43,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122465
50,"one of the most plain , unimaginative romantic comedies i've ever seen .","one of the most plain, uinmaginative romantic comedies i 've ever seen.",negative,positive,13,1,True,0.965034965034965,0.42857142857142855,adaptive_gradual,3,2025-08-12T02:16:56.122476
51,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american .","pihllip noyce an d al l of his actors -- as well as his cinematographer, christopher doyle -- empathise the delicate forcefulness of greene 's prose, and it 's there along the screen in their version of the quiet american.",positive,positive,38,7,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122500
52,the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,the transporter bombards the viewer with so many explosions and side snp kicks t hat it oddment up being surprisingly dul1.,negative,positive,25,4,True,0.9508196721311475,0.47619047619047616,adaptive_gradual,3,2025-08-12T02:16:56.122512
53,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,i t 's l azy for a movie to avoid solving one problem by trying to distract us with the solution to another.,negative,negative,23,2,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122522
54,"me no lika da accents so good , but i thoroughly enjoyed the love story . scott baio is turning in some delightful work on indie projects .","m e no lik@ da speech pattern $ o near, but i thoroughyl enjoyed the love story. sctt ba io personify wrench in some delightufl work on ind ie projects.",positive,positive,41,13,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122540
55,"short and sweet , but also more than anything else slight tadpole pulls back from the consequences of its own actions and revelations .","short and sweet, but also more than anything else slim tadpole pulls back from the consequences of its own actions and revelations.",neutral,positive,25,1,True,0.9774436090225563,0.041666666666666664,adaptive_gradual,3,2025-08-12T02:16:56.122547
56,alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .,warning device fo r duvall 's throbbing sincerity and his elderly propensity for patting people while he talks.,negative,negative,20,2,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122555
57,martyr gets royally screwed and comes back for more .,martyr gets roally chouse and comes back for more.,negative,positive,14,2,True,0.8932038834951457,0.2,adaptive_gradual,3,2025-08-12T02:16:56.122565
58,i didn't laugh . i didn't smile . i survived .,i didn't laugh . i fare n't smile. i survived .,negative,neutral,12,1,True,0.9032258064516129,0.07692307692307693,adaptive_gradual,3,2025-08-12T02:16:56.122569
59,"overly stylized with lots of flash black-&-white freeze frames reminiscent of a pseudo-hip luxury car commercial , ( it's ) at its worst when it's actually inside the ring .","ovrely styliezd wit h lots o f flash black-&-white freze frams reminiscent o f a pesudo - hip luxury car commerial, ( it 's ) at its wost when it 's actually inside the ring.",negative,negative,31,10,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122576
60,"reeboir varies between a sweet smile and an angry bark , while said attempts to wear down possible pupils through repetition . it has no affect on the kurds , but it wore me down .","reeboir varies between a sweet smile and an angry bark, while said attempts to wear down possibel pupils through repetiiton. it has no affect on the kurds , but it wore me down .",negative,neutral,25,2,True,0.9832402234636871,0.05555555555555555,adaptive_gradual,3,2025-08-12T02:16:56.122593
61,a sometimes tedious film .,a soemtimes tedoius fil m.,negative,neutral,8,3,True,0.8846153846153846,0.8,adaptive_gradual,3,2025-08-12T02:16:56.122608
62,i admired this work a lot .,i amdired th is wok a lot.,positive,positive,9,3,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122620
63,staggeringly dreadful romance .,staggering1y fearful romnace.,negative,negative,8,3,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122625
64,a flawed but engrossing thriller .,a flaw3d simply engrossing thril1er.,positive,positive,11,4,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122635
65,"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .","efteriades gives the neighborhood -- scenery, vibe and all -- the cinematic equivalent weight of a big, tendr h ug.",positive,neutral,18,3,True,0.9469026548672567,0.42857142857142855,adaptive_gradual,3,2025-08-12T02:16:56.122641
66,. . . there's enough cool fun here to warm the hearts of animation enthusiasts of all ages .,. . . tere 's enouh col sport hither t o warmly the ticker of amimation enthusiasts o f all ag es.,positive,positive,32,11,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122655
67,"adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . as for children , they won't enjoy the movie at all .","adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like pinocchio . a s f or fry, they wo n't ejnoy the movie astatine @ll.",negative,negative,20,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122672
68,the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,the kinky draam tuches the center and the funnyone tanks t o the industrious @nd always surrising performance away rachel griffiths.,positive,positive,25,15,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122685
69,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .,directro jay russell weighs pull down his capricious fairy - tale with heavy sentiment and lightweight meaning.,negative,positive,20,2,True,0.9537037037037037,0.8823529411764706,adaptive_gradual,3,2025-08-12T02:16:56.122698
70,the kind of primal storytelling that george lucas can only dream of .,the tolerant 0f primal storytellig th at george George Lucas can lone dram of.,positive,positive,19,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122703
71,"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerful, inflammatory flm abuot religion that darse to question an ancient faith, and about hatred that offers n0 ea$y, comfortable resolution.",positive,neutral,28,5,True,0.9562289562289562,0.19230769230769232,adaptive_gradual,3,2025-08-12T02:16:56.122713
72,it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,i t 's thus secure that you can practically see the hollywood ' suits ' trying to put in concert the cast and filmmaking team f or the all - too -inevitable american remaking.,positive,positive,32,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122726
73,"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so col that it chills the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductively stylsh game.",positive,negative,26,2,True,0.9838187702265372,0.06896551724137931,adaptive_gradual,3,2025-08-12T02:16:56.122753
74,"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuses t0 le t slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the gross - out cmedy.",neutral,negative,32,3,True,0.9743589743589743,0.967741935483871,adaptive_gradual,3,2025-08-12T02:16:56.122761
75,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . h3r fil m is unr3lentingly claustophobic a nd upnleasant.",negative,negative,18,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122771
76,"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a l0ud, uly, irrtiating mvie withuot an y of its satirical salvos hitting a discernible target.",negative,neutral,19,6,True,0.9381443298969072,0.8888888888888888,adaptive_gradual,3,2025-08-12T02:16:56.122780
77,"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","t ake cre i s nicely performed by a quintet of actresses, but nonetheless it drags during its 112 - minute length.",neutral,neutral,22,3,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122812
78,both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a howling tour through 300 hundred twelvemonth 0f rsusian cultural identity and a stun technical accomplishment.,positive,positive,22,14,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122820
79,fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fssenden 's narative exist jut a$ muh or so the ownership and redefinition of myth as it is about a domestic unit fniding their way to joy.,positive,positive,34,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122830
80,this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,thi s live the sort o f picture show where people who have ne'er picked a lock do so easily after a few tries and becmoe expert fighters after a few weeks.,positive,positive,35,7,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122840
81,it's the unsettling images of a war-ravaged land that prove more potent and riveting than the unlikely story of sarah and harrison .,information technology 's the unsettling images of a state of war - ravaged land that prove more stiff a nd riveting than the unlikely story of sarah and harrison.,positive,positive,27,4,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122848
82,"best of all is garcia , who perfectly portrays the desperation of a very insecure man .","be st of all is garcia, who perfectly portrays the desperation of a very insecure man.",positive,positive,17,1,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122860
83,weiss and speck never make a convincing case for the relevance of these two 20th-century footnotes .,w eiss and spekc n3ver make a cnovincing case f or the relevance of these two 20th - century footnotes.,negative,negative,22,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122867
84,everyone's to blame here .,everyone 's to blme here.,negative,positive,8,1,True,0.9411764705882353,0.16666666666666666,adaptive_gradual,3,2025-08-12T02:16:56.122871
85,changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .,commute lane i$ an anomalousness f0r a hollyood moive ; information technology 's a well - scripted and occasionally cahllenging socal drama th at actually has something interesting to say.,positive,positive,30,12,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122881
86,just not campy enough,j ust n ot campy enough,negative,negative,9,2,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122887
87,"if oscar had a category called best bad film you thought was going to be really awful but wasn't , guys would probably be duking it out with the queen of the damned for the honor .","if oscar had a category called best bad film you reckon was proceed to be really awful but was n't, guys would probably be duking it out with the queen of the damned for the honor.",positive,negative,36,2,True,0.9333333333333333,0.05263157894736842,adaptive_gradual,3,2025-08-12T02:16:56.122892
88,"accuracy and realism are terrific , but if your film becomes boring , and your dialogue isn't smart , then you need to use more poetic license .","@ccuracy and realism are terrific, but if your film becomes boring, and your dialogue is n't smart, then you need to u se m ore poetic license.",negative,neutral,30,3,True,0.9686411149825784,0.27586206896551724,adaptive_gradual,3,2025-08-12T02:16:56.122898
89,"this engrossing , characteristically complex tom clancy thriller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the same time .","thi$ engrosing, caracteristically coordination compound tom clancy thirller is shifty in the manner in which it addresses current terrorism anxieties and sidesteps them at the sa me time.",positive,negative,33,6,True,0.9201101928374655,1.0357142857142858,adaptive_gradual,3,2025-08-12T02:16:56.122911
90,i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,i promise the mov ie is wideyl seen and debated with appropriate ferocity and thoughtfulness.,positive,positive,18,3,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122917
91,"based on dave barry's popular book of the same name , the movie benefits from having a real writer plot out all of the characters' moves and overlapping story .","b ased on dave barry 's poplar boo k of the same name, the moving - picture show beefits from having a ral writer plot out all of the characters ' moves and overlapping story.",positive,positive,32,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122924
92,"thirty years ago , it would have been groundbreaking . now it's just tired .","thirty years ago , it would have been groundbreaking . mow i t 's just tired.",negative,negative,11,2,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122937
93,the big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,the big finish is a bit like getting all excited about a chocolate eclair and then nipping into it and finding the fillign escape.,negative,positive,25,3,True,0.9272030651340997,0.12,adaptive_gradual,3,2025-08-12T02:16:56.122947
94,"a movie just for friday fans , critics be damned . if you already like this sort of thing , this is that sort of thing all over again .","a pic equitable f or friday fans, critics be damned. i f you already like tis sort of ting, ths 1s that sort of thing all over again.",positive,positive,38,8,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122952
95,[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,[ crsytal a nd First State niro ] manage to squeez3 out some good laughs bu t not enough to make this silly con job sing.,negative,negative,29,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122964
96,"it may not be a huge cut of above the rest , but i enjoyed barbershop . it's a funny little movie with clever dialogue and likeable characters .","information technology whitethorn no t be a huge cut of above the rest, but i enjoyed barbershop. i t 's a funny little movie with clver dialogue and likeable characters.",positive,positive,32,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122969
97,"it's predictable , but it jumps through the expected hoops with style and even some depth .","i t 's predictable, but i t derail through the await hoops w ith style and even some depth.",positive,positive,22,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122974
98,"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg's the prince of egypt from 1998 .","an exceptonally draery and distraught bit 0f work, every bi t as imperious as katzenberg 's the prince of egypt from 1998.",negative,neutral,25,5,True,0.9186991869918699,0.782608695652174,adaptive_gradual,3,2025-08-12T02:16:56.122977
99,"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie .","secreary maanges a ne at trick, bundling the flowers of perversity, comdey and romance into a strangely tempting bouquet of a movei.",positive,positive,23,5,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122983
100,"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers' sporadic dips into pop freudianism .","fo r all the dolorous t rim, writing table is a cordial romance that maintains a surprisingy perky tone throughout, notwithstanding some of the writers ' sporadic dips into pop freudianism.",positive,positive,32,6,False,1.0,0.0,adaptive_gradual,3,2025-08-12T02:16:56.122987
